Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Heat-Strengthened,6,1.87,4.34,0.43,1.38,0.35,2,1.3,0.544,5.07,0.43
Annealed,5,1.06,1.56,0.68,0.99,0.13,1,0.43,0.496,2,0.93
Annealed,16,4.24,1.09,3.89,0.68,1.07,1,0.43,0.833,0.82,0.43
Laminated,8,4.39,4.85,0.91,1.15,3.36,3.8,2.85,0.557,7.85,0.31
Fully Tempered,19,1.68,3.96,0.42,0.96,0.01,4,3,0.895,4.29,0.36
Laminated,4,3.82,2.54,1.5,0.64,16.38,3.8,2.85,0.853,2.85,0.31
Laminated,10,4.65,1.68,2.77,1.98,11.96,3.8,2.85,0.834,9.02,0.72
Annealed,12,1.02,1.69,0.6,1.18,0.01,1,0.43,0.864,1.37,0.43
Annealed,12,4.78,2.22,2.15,0.73,2.16,1,0.43,0.713,1.02,0.83
Heat-Strengthened,10,1.71,3.83,0.45,2.33,0.1,2,1.3,0.752,6.2,0.55
Annealed,12,3.16,3.67,0.86,0.65,0.2,1,0.43,0.872,0.75,0.83
Laminated,6,3.52,1.65,2.13,1.59,14.87,3.8,2.85,0.377,16.03,0.43
Heat-Strengthened,10,1.97,3.98,0.49,0.88,0.07,2,1.3,0.777,2.27,0.83
Fully Tempered,8,3.07,4.53,0.68,2.02,1.51,4,3,0.846,9.55,0.64
Annealed,19,1.36,2.65,0.51,0.67,0,1,0.43,0.859,0.78,0.83
Fully Tempered,5,3.56,4.69,0.76,2.28,12.2,4,3,0.409,22.3,1
Fully Tempered,6,2.61,3.93,0.66,2.43,2.6,4,3,0.493,19.72,1
Fully Tempered,12,2.73,2.39,1.14,1.42,0.37,4,3,0.799,7.11,0.43
Fully Tempered,16,4.53,2.83,1.6,0.82,0.65,4,3,0.754,4.35,0.31
Fully Tempered,19,2.34,2.18,1.07,1.1,0.04,4,3,0.844,5.21,0.83
Fully Tempered,8,3.33,4.79,0.7,2.12,2.08,4,3,0.633,13.4,0.31
Laminated,5,3.68,3.26,1.13,1.94,17.06,3.8,2.85,0.698,10.56,0.31
Heat-Strengthened,19,1.65,3.79,0.44,1.42,0.01,2,1.3,0.864,3.29,0.64
Annealed,6,2.2,2.1,1.05,1.91,1.93,1,0.43,0.329,5.81,1
Annealed,8,1.37,2.58,0.53,1.11,0.06,1,0.43,0.512,2.17,0.55
Heat-Strengthened,8,2.36,3.44,0.69,1.39,0.48,2,1.3,0.77,3.61,0.93
Heat-Strengthened,16,2.45,3.38,0.72,2.07,0.11,2,1.3,0.796,5.2,0.55
Fully Tempered,4,4.37,1.49,2.93,2.11,175.18,4,3,0.78,10.82,1
Laminated,10,4.11,1.24,3.31,2.13,10.64,3.8,2.85,0.759,10.66,1
Laminated,16,4.65,1.03,4.51,2.78,6.69,3.8,2.85,0.762,13.86,0.43
Fully Tempered,8,3.4,1.89,1.8,2.32,6.96,4,3,0.48,19.33,1
Fully Tempered,5,1.5,4.05,0.37,0.65,0.13,4,3,0.308,8.44,1
Annealed,16,4.76,2.93,1.62,2.54,2.36,1,0.43,0.752,3.38,0.83
Fully Tempered,4,2.16,4.77,0.45,1.73,2.41,4,3,0.608,11.38,1
Fully Tempered,5,3.35,4.83,0.69,0.75,3.06,4,3,0.721,4.16,0.36
Annealed,10,3.01,2.99,1.01,1.25,0.67,1,0.43,0.849,1.47,0.72
Laminated,12,3.6,2.52,1.43,1.44,1.09,3.8,2.85,0.764,7.16,0.31
Laminated,4,3.1,2.79,1.11,0.82,8.29,3.8,2.85,0.726,4.29,0.31
Laminated,16,1.87,2.33,0.8,1.23,0.03,3.8,2.85,0.885,5.28,0.31
Heat-Strengthened,16,1.36,3.9,0.35,1.1,0,2,1.3,0.866,2.54,0.72
Fully Tempered,4,2.74,4.26,0.64,1.02,4.12,4,3,0.588,6.94,0.43
Heat-Strengthened,4,3.06,1.54,1.99,0.84,16.22,2,1.3,0.783,2.15,0.31
Laminated,10,3.31,1.99,1.66,0.88,1.15,3.8,2.85,0.711,4.7,0.31
Laminated,12,3.81,2.7,1.41,2.71,2.39,3.8,2.85,0.727,14.17,0.43
Laminated,19,2.03,1.75,1.16,1.95,0.05,3.8,2.85,0.838,8.84,0.55
Fully Tempered,16,3.05,1.62,1.88,2.27,0.64,4,3,0.737,12.32,0.93
Fully Tempered,4,4.08,2.42,1.69,1.08,41.95,4,3,0.495,8.73,0.72
Laminated,5,2.92,4.77,0.61,2.2,5.24,3.8,2.85,0.445,18.79,0.93
Heat-Strengthened,16,1.19,1.45,0.82,2.86,0.02,2,1.3,0.778,7.35,0.83
Heat-Strengthened,16,1.08,1.79,0.6,1.24,0,2,1.3,0.705,3.52,0.72
Annealed,16,3.02,3.71,0.81,1.87,0.2,1,0.43,0.811,2.31,0.36
Fully Tempered,16,2.45,3.75,0.65,1.14,0.05,4,3,0.882,5.17,0.72
Annealed,5,1.96,2.42,0.81,0.68,0.65,1,0.43,0.31,2.19,0.55
Laminated,4,2.76,3.82,0.72,1.89,8.76,3.8,2.85,0.378,19,0.31
Annealed,12,4.96,1.38,3.59,2.52,13.89,1,0.43,0.876,2.88,0.83
Annealed,10,1.98,3.62,0.55,2.98,0.25,1,0.43,0.701,4.25,0.43
Fully Tempered,16,4.88,2.56,1.91,1.25,1.47,4,3,0.857,5.83,0.55
Laminated,12,3.59,3.55,1.01,1.67,0.88,3.8,2.85,0.817,7.77,1
Annealed,19,4.36,2.68,1.63,1.74,0.74,1,0.43,0.778,2.24,0.31
Laminated,6,1.44,3.69,0.39,2.63,0.28,3.8,2.85,0.716,13.96,1
Laminated,16,2.65,4.61,0.57,2.48,0.13,3.8,2.85,0.833,11.31,0.64
Heat-Strengthened,10,2.91,3.92,0.74,1.75,0.63,2,1.3,0.837,4.18,0.55
Fully Tempered,19,4.96,4.62,1.07,2,0.75,4,3,0.736,10.87,0.72
Laminated,16,1.96,4.63,0.42,1.86,0.03,3.8,2.85,0.766,9.23,1
Annealed,19,1.18,4.18,0.28,0.59,0,1,0.43,0.713,0.83,0.64
Fully Tempered,5,3.73,1.73,2.16,1.61,31.29,4,3,0.646,9.97,0.55
Laminated,16,1.94,3,0.65,1.93,0.04,3.8,2.85,0.789,9.3,1
Heat-Strengthened,19,4.82,1.57,3.07,1.09,1.19,2,1.3,0.718,3.04,0.72
Laminated,16,1.65,3.91,0.42,2.16,0.02,3.8,2.85,0.869,9.45,0.31
Annealed,5,3.83,2.09,1.83,2.23,39.87,1,0.43,0.43,5.19,0.36
Annealed,5,1.79,3.2,0.56,1.85,0.93,1,0.43,0.75,2.47,0.31
Heat-Strengthened,16,4.72,2.73,1.73,0.97,0.93,2,1.3,0.868,2.24,1
Laminated,8,2.22,4.99,0.44,1.34,0.25,3.8,2.85,0.539,9.45,0.83
Fully Tempered,4,4.22,4.44,0.95,1.46,31.84,4,3,0.355,16.45,0.83
Fully Tempered,6,2.58,2.42,1.07,2.45,4.06,4,3,0.681,14.39,0.64
Heat-Strengthened,4,3.67,1.13,3.25,2.88,156.83,2,1.3,0.376,15.32,0.55
Heat-Strengthened,10,4.93,1.44,3.42,2.38,21.2,2,1.3,0.891,5.34,0.31
Fully Tempered,4,3.08,1.6,1.93,1.5,28.62,4,3,0.805,7.45,0.55
Annealed,5,1.51,3,0.5,1.02,0.28,1,0.43,0.84,1.21,0.31
Laminated,10,4.49,1.12,4.01,2.02,15.91,3.8,2.85,0.735,10.44,0.43
Heat-Strengthened,8,1.98,1.46,1.36,2.96,1.19,2,1.3,0.515,11.5,0.72
Laminated,6,2.64,4.35,0.61,2.8,2.83,3.8,2.85,0.464,22.93,0.93
Annealed,4,2.94,2.61,1.13,1.95,17.04,1,0.43,0.694,2.81,0.36
Heat-Strengthened,12,3.57,4.71,0.76,2.24,0.87,2,1.3,0.867,5.17,0.36
Annealed,4,2.28,4.02,0.57,1.05,2.15,1,0.43,0.582,1.8,0.43
Heat-Strengthened,19,3.83,1.05,3.65,2.17,1.41,2,1.3,0.826,5.25,0.93
Laminated,6,3.01,2.07,1.45,2.48,8.9,3.8,2.85,0.777,12.13,1
Annealed,5,1.03,1.62,0.64,1.71,0.19,1,0.43,0.89,1.92,0.36
Laminated,4,4.04,4.43,0.91,0.62,11.38,3.8,2.85,0.462,5.1,0.43
Laminated,5,4.7,2.72,1.73,1.32,41.13,3.8,2.85,0.822,6.1,0.72
Annealed,4,1.1,2.78,0.4,1.56,0.25,1,0.43,0.782,1.99,1
Heat-Strengthened,8,1.65,1.2,1.38,1.14,0.27,2,1.3,0.387,5.89,0.72
Fully Tempered,5,1.04,2.35,0.44,1.09,0.08,4,3,0.581,7.5,0.83
Laminated,6,4.52,3.85,1.17,1.87,18.34,3.8,2.85,0.448,15.86,0.93
Heat-Strengthened,16,2.02,2.57,0.79,1.83,0.06,2,1.3,0.72,5.08,0.55
Annealed,19,2.52,3.27,0.77,2.52,0.09,1,0.43,0.81,3.11,0.31
Laminated,19,3.31,2.52,1.31,1.17,0.16,3.8,2.85,0.774,5.74,0.55
Heat-Strengthened,5,4.53,4.4,1.03,2.01,30.07,2,1.3,0.549,7.32,0.93
Heat-Strengthened,19,4.18,1.59,2.63,1.38,0.84,2,1.3,0.767,3.6,0.72
Laminated,4,4.62,1.31,3.53,2.15,253.63,3.8,2.85,0.435,18.78,0.55
Laminated,8,1,1.41,0.71,2.75,0.07,3.8,2.85,0.895,11.68,0.36
Fully Tempered,12,1.73,3.35,0.52,2.78,0.08,4,3,0.833,13.35,0.83
Heat-Strengthened,4,2.47,3.11,0.79,2.78,10.16,2,1.3,0.645,8.62,0.72
Fully Tempered,8,1.86,2.5,0.74,2.05,0.37,4,3,0.675,12.15,0.64
Heat-Strengthened,8,2.93,1.27,2.31,1.6,3.94,2,1.3,0.458,6.99,0.36
Heat-Strengthened,12,3.87,3.01,1.29,0.69,0.58,2,1.3,0.704,1.96,0.36
Laminated,8,4.84,1.49,3.25,1.92,29.98,3.8,2.85,0.74,9.86,0.31
Fully Tempered,8,4.36,2.02,2.16,2.93,22.22,4,3,0.497,23.58,0.31
Fully Tempered,16,5,4.77,1.05,2.58,1.61,4,3,0.858,12.03,0.43
Laminated,6,4.28,2.85,1.5,1.25,13.31,3.8,2.85,0.606,7.84,0.36
Annealed,16,4.42,2.18,2.03,1.99,1.85,1,0.43,0.72,2.76,0.36
Laminated,4,3.55,4.08,0.87,1.21,14.38,3.8,2.85,0.497,9.25,0.83
Fully Tempered,19,4.35,4.07,1.07,2.16,0.54,4,3,0.827,10.45,0.72
Fully Tempered,5,4.13,2.53,1.63,2.69,53.72,4,3,0.438,24.57,0.55
Fully Tempered,8,2.39,3.31,0.72,1.71,0.64,4,3,0.862,7.94,0.55
Laminated,19,3.59,1.34,2.68,1.29,0.51,3.8,2.85,0.846,5.79,0.72
Fully Tempered,16,4.54,2.64,1.72,1.84,1.57,4,3,0.821,8.96,0.93
Heat-Strengthened,16,1.97,4.04,0.49,2.14,0.04,2,1.3,0.737,5.81,0.36
Laminated,12,2.07,1.2,1.72,0.94,0.18,3.8,2.85,0.762,4.69,1
Heat-Strengthened,10,1.07,4.84,0.22,2.26,0.01,2,1.3,0.852,5.31,0.72
Heat-Strengthened,4,3.1,4.84,0.64,2.35,13.69,2,1.3,0.447,10.51,0.93
Heat-Strengthened,5,4.49,1.96,2.29,1.35,48.62,2,1.3,0.748,3.61,0.31
Annealed,10,2.06,1.71,1.2,2.44,0.5,1,0.43,0.827,2.95,1
Annealed,12,3,4.02,0.75,1.03,0.23,1,0.43,0.822,1.25,0.64
Heat-Strengthened,4,2.86,1.46,1.96,0.61,9.48,2,1.3,0.769,1.59,0.55
Annealed,6,1.81,3.36,0.54,0.78,0.23,1,0.43,0.363,2.15,1
Annealed,6,4.59,4.37,1.05,1.48,13.6,1,0.43,0.553,2.68,0.72
Heat-Strengthened,10,2.07,1.36,1.52,1.27,0.37,2,1.3,0.883,2.88,0.36
Fully Tempered,16,2.49,3.1,0.8,1.83,0.11,4,3,0.77,9.51,0.83
Annealed,10,3.95,4.06,0.97,2.7,3.16,1,0.43,0.745,3.62,1
Fully Tempered,5,1.48,4.28,0.35,2.5,0.44,4,3,0.866,11.55,0.64
Laminated,4,1.08,1.54,0.7,1.78,0.48,3.8,2.85,0.487,13.89,0.64
Heat-Strengthened,4,4.53,2.74,1.65,1.15,59.95,2,1.3,0.849,2.71,0.93
Laminated,19,1.06,4.54,0.23,1.97,0,3.8,2.85,0.745,10.05,0.43
Heat-Strengthened,19,4.06,1.5,2.71,1.77,1.01,2,1.3,0.823,4.3,0.83
Laminated,16,2.14,1.07,2,0.88,0.09,3.8,2.85,0.805,4.15,0.83
Heat-Strengthened,4,2.88,1.2,2.4,1.47,28.59,2,1.3,0.874,3.36,0.43
Heat-Strengthened,4,3.32,4.12,0.81,1.38,12.42,2,1.3,0.333,8.29,0.36
Heat-Strengthened,19,4.08,1.05,3.89,2.88,2.41,2,1.3,0.746,7.72,0.36
Annealed,12,3.54,2.87,1.23,0.74,0.46,1,0.43,0.886,0.84,0.64
Fully Tempered,16,3.05,2.63,1.16,2.4,0.38,4,3,0.706,13.6,0.55
Laminated,12,1.61,4.89,0.33,1.94,0.03,3.8,2.85,0.877,8.41,0.55
Fully Tempered,10,2.59,3.96,0.65,1.88,0.42,4,3,0.755,9.96,0.55
Annealed,4,1.3,3.54,0.37,2.53,0.62,1,0.43,0.426,5.94,0.93
Heat-Strengthened,6,3.33,2.59,1.29,2.31,9.92,2,1.3,0.514,8.99,0.64
Heat-Strengthened,19,3.08,3.98,0.77,1.08,0.07,2,1.3,0.877,2.46,0.55
Laminated,8,1.2,3.46,0.35,1.71,0.04,3.8,2.85,0.644,10.09,0.64
Fully Tempered,4,2.26,3.35,0.67,0.5,1.19,4,3,0.566,3.53,0.72
Fully Tempered,10,1.31,1.83,0.72,2.12,0.07,4,3,0.892,9.51,0.36
Laminated,10,2.29,1.06,2.16,0.5,0.28,3.8,2.85,0.736,2.58,0.72
Annealed,19,4.88,2.4,2.03,0.86,0.64,1,0.43,0.771,1.12,0.31
Laminated,6,4.07,2.3,1.77,1.17,14.03,3.8,2.85,0.813,5.47,1
Annealed,16,1.33,4.65,0.29,2.18,0.01,1,0.43,0.81,2.69,0.31
Annealed,12,1.55,1.33,1.17,0.89,0.04,1,0.43,0.724,1.23,0.83
Heat-Strengthened,4,3.69,4.96,0.74,2.77,31.61,2,1.3,0.428,12.94,0.31
Fully Tempered,16,1.26,2.11,0.6,0.55,0,4,3,0.87,2.53,0.93
Laminated,8,2.64,2.57,1.03,0.95,0.69,3.8,2.85,0.894,4.04,0.72
Heat-Strengthened,16,2.8,3.46,0.81,2.1,0.18,2,1.3,0.859,4.89,1
Heat-Strengthened,10,1.72,3.52,0.49,1.48,0.07,2,1.3,0.823,3.6,0.72
Annealed,8,1.06,4.76,0.22,1.72,0.02,1,0.43,0.847,2.03,0.93
Annealed,19,3.25,3.39,0.96,1.63,0.15,1,0.43,0.881,1.85,0.83
Annealed,5,3.73,2.36,1.58,2.88,41.02,1,0.43,0.402,7.16,0.31
Heat-Strengthened,4,2.36,3.42,0.69,1.82,5.04,2,1.3,0.581,6.27,0.31
Fully Tempered,6,3.07,1.06,2.9,1.15,9.69,4,3,0.492,9.35,0.36
Laminated,10,4.74,4.49,1.06,1.1,2.42,3.8,2.85,0.763,5.48,0.31
Fully Tempered,10,4,1.59,2.52,2.75,9.61,4,3,0.793,13.87,1
Laminated,10,4.89,4.43,1.1,2.08,5.25,3.8,2.85,0.804,9.83,0.83
Heat-Strengthened,16,4.39,2.59,1.69,2.47,1.88,2,1.3,0.812,6.08,0.36
Heat-Strengthened,5,1.85,3.57,0.52,2,1.03,2,1.3,0.563,7.1,0.64
Laminated,10,4.77,4.47,1.07,2.84,6.43,3.8,2.85,0.772,13.98,0.55
Fully Tempered,19,1.7,2.71,0.63,2.4,0.02,4,3,0.843,11.39,0.36
Fully Tempered,16,2.79,3.12,0.89,1.12,0.1,4,3,0.795,5.64,0.64
Annealed,16,2.01,1.66,1.21,2.35,0.11,1,0.43,0.863,2.72,0.43
Heat-Strengthened,8,2.22,3.85,0.58,2.04,0.49,2,1.3,0.53,7.7,0.64
Laminated,12,4.4,4.21,1.05,0.73,0.73,3.8,2.85,0.77,3.6,0.72
Annealed,6,1.1,1.65,0.67,2.08,0.17,1,0.43,0.636,3.27,0.43
Fully Tempered,8,4.61,2.61,1.77,2.9,21.28,4,3,0.785,14.78,0.43
Fully Tempered,16,2.48,3.07,0.81,2.52,0.15,4,3,0.821,12.28,0.64
Heat-Strengthened,6,1.73,2.46,0.7,1.37,0.45,2,1.3,0.422,6.49,0.31
Laminated,19,1.23,4.2,0.29,2.72,0,3.8,2.85,0.753,13.73,0.31
Fully Tempered,19,2.06,3.12,0.66,1.76,0.03,4,3,0.876,8.04,0.64
Fully Tempered,16,4.09,4.29,0.95,2.5,0.78,4,3,0.862,11.6,0.93
Laminated,6,1.48,2.24,0.66,2.21,0.43,3.8,2.85,0.599,14.02,0.55
Annealed,19,1.93,2.03,0.95,2.31,0.04,1,0.43,0.841,2.75,0.43
Heat-Strengthened,12,4.93,4.62,1.07,2.7,3.9,2,1.3,0.787,6.86,0.72
Heat-Strengthened,8,2.9,1.82,1.59,2.48,4.09,2,1.3,0.446,11.12,0.93
Heat-Strengthened,5,4.04,4.05,1,0.95,9.77,2,1.3,0.538,3.53,0.36
Heat-Strengthened,6,1.12,4.95,0.23,1.61,0.05,2,1.3,0.597,5.39,0.64
Laminated,6,1.47,2.04,0.72,1.44,0.3,3.8,2.85,0.401,13.65,0.64
Laminated,19,3.09,1.47,2.1,2.83,0.56,3.8,2.85,0.856,12.56,0.55
Annealed,19,1.56,3.43,0.45,0.63,0,1,0.43,0.782,0.81,0.93
Heat-Strengthened,5,4.8,2.89,1.66,2.92,93.15,2,1.3,0.614,9.51,0.64
Annealed,10,1.18,3.03,0.39,0.84,0.01,1,0.43,0.78,1.08,1
Fully Tempered,6,1.39,1.01,1.38,1.27,0.42,4,3,0.446,11.39,0.72
Annealed,8,4.6,2.23,2.06,2.76,23.5,1,0.43,0.765,3.61,0.83
Annealed,8,1.19,4.69,0.25,2.69,0.04,1,0.43,0.702,3.83,0.31
Heat-Strengthened,10,3.96,4.93,0.8,2.45,2.39,2,1.3,0.752,6.52,0.64
Fully Tempered,8,4.68,1.9,2.46,0.89,9.53,4,3,0.797,4.47,0.43
Laminated,16,1.26,2.79,0.45,2.67,0.01,3.8,2.85,0.719,14.11,0.64
Fully Tempered,12,4.29,3.51,1.22,1.43,1.56,4,3,0.869,6.58,0.31
Laminated,6,1.13,3.5,0.32,0.94,0.04,3.8,2.85,0.341,10.48,1
Annealed,5,2.52,1.85,1.36,1.48,5.04,1,0.43,0.316,4.68,0.72
Annealed,19,3.13,2.02,1.55,2.41,0.36,1,0.43,0.871,2.77,0.64
Heat-Strengthened,12,4.88,3.02,1.62,1.69,3.99,2,1.3,0.752,4.49,0.93
Heat-Strengthened,5,4.42,2.8,1.58,2.95,69.84,2,1.3,0.483,12.22,0.31
Heat-Strengthened,5,4.81,2.39,2.01,0.9,35.01,2,1.3,0.583,3.09,1
Annealed,8,4.64,1.2,3.87,1.42,23.26,1,0.43,0.731,1.94,0.93
Laminated,6,2.12,4.27,0.5,2.07,0.89,3.8,2.85,0.837,9.4,0.64
Laminated,8,4.75,2.04,2.33,1.38,14.6,3.8,2.85,0.538,9.75,0.64
Annealed,19,1.88,2.31,0.81,1.41,0.02,1,0.43,0.796,1.77,0.36
Heat-Strengthened,16,3.05,4.88,0.62,1.98,0.17,2,1.3,0.71,5.58,0.64
Heat-Strengthened,5,1.01,4.07,0.25,0.6,0.02,2,1.3,0.624,1.92,0.93
Annealed,10,4.19,2.91,1.44,0.99,2.05,1,0.43,0.866,1.14,0.55
Annealed,8,2.97,4.09,0.73,2.65,1.92,1,0.43,0.773,3.43,0.93
Laminated,4,2.53,2.32,1.09,0.76,4.1,3.8,2.85,0.332,8.7,0.31
Annealed,6,2.93,4.24,0.69,2.63,4.14,1,0.43,0.709,3.71,0.31
Fully Tempered,12,2.19,4.86,0.45,2.31,0.12,4,3,0.862,10.72,1
Annealed,4,4.36,2.54,1.72,2.04,98.45,1,0.43,0.398,5.13,0.31
Annealed,19,4.55,1.32,3.45,2.08,2.14,1,0.43,0.832,2.5,0.64
Heat-Strengthened,16,4.44,2.56,1.73,1.78,1.43,2,1.3,0.706,5.04,0.72
Laminated,8,2.65,3.52,0.75,2.35,1.26,3.8,2.85,0.563,15.86,0.43
Heat-Strengthened,16,2.35,1.83,1.28,2.94,0.23,2,1.3,0.861,6.83,0.72
Annealed,6,1.83,4.49,0.41,2.86,0.65,1,0.43,0.672,4.26,0.83
Fully Tempered,6,1.41,2.14,0.66,0.78,0.13,4,3,0.383,8.15,1
Fully Tempered,12,1.94,4.93,0.39,1.22,0.04,4,3,0.778,6.27,0.43
Heat-Strengthened,4,3.69,4.71,0.78,2.4,28.84,2,1.3,0.554,8.66,0.36
Heat-Strengthened,16,2.87,2.21,1.3,2.24,0.33,2,1.3,0.832,5.38,0.83
Laminated,19,1.78,3.14,0.57,0.55,0.01,3.8,2.85,0.772,2.71,0.93
Fully Tempered,6,1.2,2.11,0.57,0.73,0.06,4,3,0.485,6.02,0.36
Annealed,12,3.89,2.87,1.36,2.42,2.18,1,0.43,0.784,3.09,0.83
Heat-Strengthened,6,3.34,3.34,1,0.51,1.72,2,1.3,0.378,2.7,0.36
Heat-Strengthened,4,2.9,1.23,2.36,0.94,18.33,2,1.3,0.615,3.06,0.64
Annealed,16,4.66,4.05,1.15,0.94,0.52,1,0.43,0.726,1.29,0.64
Annealed,19,2.88,2.82,1.02,1.78,0.12,1,0.43,0.896,1.99,0.55
Heat-Strengthened,4,1.04,3.59,0.29,0.9,0.09,2,1.3,0.717,2.51,1
Laminated,16,2.5,2.97,0.84,1.6,0.1,3.8,2.85,0.822,7.4,0.93
Heat-Strengthened,4,1.4,2.19,0.64,2.18,1.17,2,1.3,0.664,6.57,0.93
Annealed,5,2.09,1.38,1.51,2.57,6.17,1,0.43,0.333,7.72,1
Annealed,19,4.97,2.93,1.7,1.3,0.86,1,0.43,0.733,1.77,0.43
Annealed,5,4.22,3.78,1.12,1.38,18.1,1,0.43,0.528,2.61,0.43
Annealed,5,3.47,4.88,0.71,2.7,12.54,1,0.43,0.664,4.07,0.31
Fully Tempered,6,4.59,4.67,0.98,2.82,24.24,4,3,0.599,18.83,1
Heat-Strengthened,16,1.61,3.83,0.42,2.68,0.02,2,1.3,0.839,6.39,0.36
Heat-Strengthened,10,4.01,4.34,0.92,1.41,1.64,2,1.3,0.714,3.95,0.83
Annealed,19,3.81,1.26,3.02,1.46,0.77,1,0.43,0.751,1.94,0.36
Annealed,16,3.12,2.42,1.29,1.68,0.31,1,0.43,0.782,2.15,0.43
Heat-Strengthened,12,4.2,4.87,0.86,0.88,0.64,2,1.3,0.819,2.15,0.36
Annealed,4,1.53,3.21,0.48,0.52,0.27,1,0.43,0.892,0.58,0.36
Fully Tempered,10,1.44,5,0.29,0.97,0.02,4,3,0.833,4.66,0.43
Annealed,8,1.54,2.48,0.62,1.5,0.13,1,0.43,0.558,2.69,0.64
Fully Tempered,8,1.3,4.59,0.28,2.37,0.06,4,3,0.506,18.74,0.31
Annealed,19,3,3.38,0.89,0.72,0.05,1,0.43,0.831,0.87,0.72
Annealed,4,4.81,1.42,3.39,2.32,296.65,1,0.43,0.576,4.03,0.36
Heat-Strengthened,16,2.16,2.91,0.74,1.41,0.05,2,1.3,0.797,3.54,0.83
Laminated,16,3.42,1.6,2.14,2.73,1.24,3.8,2.85,0.729,14.23,0.64
Heat-Strengthened,10,1.82,3.89,0.47,0.98,0.05,2,1.3,0.724,2.71,0.43
Heat-Strengthened,16,3.04,3.76,0.81,1.32,0.14,2,1.3,0.831,3.18,0.83
Fully Tempered,10,4.97,2.52,1.97,2.96,15.56,4,3,0.82,14.44,0.31
Heat-Strengthened,4,1.44,3.09,0.47,1.88,0.8,2,1.3,0.592,6.35,0.36
Laminated,10,4.14,3.51,1.18,0.91,1.49,3.8,2.85,0.741,4.67,0.83
Heat-Strengthened,12,4.19,1.55,2.7,2.39,5.97,2,1.3,0.865,5.53,0.83
Laminated,5,4.26,1.26,3.38,2.42,109.85,3.8,2.85,0.328,28.04,0.83
Heat-Strengthened,10,2.6,1.58,1.65,0.65,0.41,2,1.3,0.824,1.58,0.43
Fully Tempered,12,2.78,1.94,1.43,2.52,0.88,4,3,0.83,12.14,0.31
Heat-Strengthened,4,3.68,2.49,1.48,1,22.49,2,1.3,0.748,2.67,0.93
Heat-Strengthened,5,1.3,2.77,0.47,0.87,0.14,2,1.3,0.773,2.25,0.83
Fully Tempered,4,3.55,4.56,0.78,2.86,30.41,4,3,0.546,20.95,0.36
Fully Tempered,5,2.96,2.26,1.31,2.29,12.16,4,3,0.485,18.89,0.93
Heat-Strengthened,12,3.71,3.44,1.08,2.56,1.59,2,1.3,0.782,6.55,0.93
Annealed,5,3.91,2.59,1.51,1.44,22.57,1,0.43,0.6,2.4,0.43
Fully Tempered,10,1.14,4,0.28,1.41,0.01,4,3,0.762,7.4,0.93
Annealed,16,2.3,3.67,0.63,1.26,0.05,1,0.43,0.741,1.7,0.43
Heat-Strengthened,16,3.3,4.03,0.82,0.7,0.1,2,1.3,0.899,1.56,0.36
Annealed,6,1.23,2.44,0.5,0.85,0.07,1,0.43,0.84,1.01,0.43
Fully Tempered,6,1.55,2.04,0.76,1.63,0.42,4,3,0.445,14.65,1
Heat-Strengthened,19,4.55,1.65,2.76,2.58,2.12,2,1.3,0.87,5.93,0.93
Annealed,10,1.7,1.18,1.44,0.77,0.11,1,0.43,0.72,1.07,0.64
Laminated,10,3.99,2.22,1.8,2,4.96,3.8,2.85,0.715,10.63,0.93
Heat-Strengthened,4,4.92,4.29,1.15,1.58,65.88,2,1.3,0.578,5.47,0.72
Heat-Strengthened,16,4.68,1.47,3.18,1.64,2.84,2,1.3,0.889,3.69,0.31
Annealed,10,3.58,4.44,0.81,1.1,0.8,1,0.43,0.735,1.5,0.83
Laminated,4,1.97,4.49,0.44,2.9,2.97,3.8,2.85,0.314,35.1,0.43
Heat-Strengthened,12,1.79,3.2,0.56,2.95,0.11,2,1.3,0.729,8.09,1
Fully Tempered,12,2.7,2.11,1.28,2.36,0.67,4,3,0.8,11.8,0.55
Laminated,8,3.55,1.43,2.48,2.24,10.55,3.8,2.85,0.746,11.41,1
Heat-Strengthened,16,3.1,4.98,0.62,1.85,0.16,2,1.3,0.892,4.15,0.72
Annealed,5,2.39,1.37,1.74,1.33,5.5,1,0.43,0.378,3.52,0.72
Fully Tempered,8,4.99,2.83,1.76,2.94,27.31,4,3,0.557,21.11,1
Laminated,8,4.43,4.66,0.95,1.64,5.17,3.8,2.85,0.376,16.57,0.55
Annealed,8,2.87,1.47,1.95,2.45,4.79,1,0.43,0.516,4.75,0.64
Fully Tempered,5,3.8,3.15,1.21,1.28,13.24,4,3,0.699,7.32,0.64
Heat-Strengthened,10,3.8,3.53,1.08,1.32,1.52,2,1.3,0.852,3.1,0.72
Heat-Strengthened,5,2.05,2.82,0.73,1.1,1.08,2,1.3,0.622,3.54,1
Annealed,5,4.26,2.17,1.96,0.72,18.98,1,0.43,0.4,1.8,0.31
Fully Tempered,12,3.69,3.46,1.07,0.8,0.48,4,3,0.783,4.09,0.83
Heat-Strengthened,10,2.33,3.13,0.74,1.98,0.36,2,1.3,0.733,5.4,0.55
Heat-Strengthened,6,2.26,1.28,1.77,2.39,4.9,2,1.3,0.42,11.38,0.64
